date,open,close,Name
2015-02-04,75.09,75.63,FB
2015-02-05,75.71,75.615,FB
2015-02-06,75.68,74.47,FB
2015-02-09,74.05,74.44,FB
2015-02-10,74.85,75.19,FB
2015-02-11,75.09,76.51,FB
2015-02-12,76.86,76.23,FB
2015-02-13,76.46,75.74,FB
2015-02-17,75.3,75.6,FB
2015-02-18,75.94,76.71,FB
2015-02-19,76.986,79.42,FB
2015-02-20,79.55,79.895,FB
2015-02-23,79.96,78.84,FB
2015-02-24,78.5,78.45,FB
2015-02-25,78.5,79.56,FB
2015-02-26,79.88,80.41,FB
2015-02-27,80.68,78.97,FB
2015-03-02,79.0,79.75,FB
2015-03-03,79.61,79.6,FB
2015-03-04,79.3,80.895,FB
2015-03-05,81.23,81.21,FB
2015-03-06,80.9,80.005,FB
2015-03-09,79.68,79.44,FB
2015-03-10,78.5,77.55,FB
2015-03-11,77.8,77.57,FB
2015-03-12,78.1,78.93,FB
2015-03-13,78.6,78.05,FB
2015-03-16,77.96,78.07,FB
2015-03-17,78.36,79.365,FB
2015-03-18,79.25,80.91,FB
2015-03-19,81.12,82.75,FB
2015-03-20,83.39,83.8,FB
2015-03-23,83.92,84.43,FB
2015-03-24,84.71,85.31,FB
2015-03-25,85.5,82.92,FB
2015-03-26,82.72,83.01,FB
2015-03-27,83.38,83.3,FB
2015-03-30,83.81,83.195,FB
2015-03-31,82.9,82.215,FB
2015-04-01,82.5,81.665,FB
2015-04-02,82.25,81.555,FB
2015-04-06,80.8,82.44,FB
2015-04-07,82.65,82.32,FB
2015-04-08,82.63,82.275,FB
2015-04-09,82.5,82.17,FB
2015-04-10,82.21,82.04,FB
2015-04-13,81.93,83.01,FB
2015-04-14,83.17,83.515,FB
2015-04-15,83.55,82.705,FB
2015-04-16,82.47,82.31,FB
2015-04-17,81.48,80.775,FB
2015-04-20,81.54,83.09,FB
2015-04-21,84.0,83.62,FB
2015-04-22,84.32,84.63,FB
2015-04-23,84.1,82.41,FB
2015-04-24,82.77,81.53,FB
2015-04-27,81.87,81.91,FB
2015-04-28,81.83,80.68,FB
2015-04-29,80.01,80.465,FB
2015-04-30,80.01,78.77,FB
2015-05-01,79.24,78.99,FB
2015-05-04,79.33,78.81,FB
